user_id,plan_type,trial_start_date,trial_end_date,subscription_status,monthly_revenue
1,Basic,17-05-2024,31-05-2024,Trial,0
2,Basic,02-08-2024,16-08-2024,Churned,0
3,Basic,22-08-2024,05-09-2024,Churned,0
4,Basic,08-03-2025,22-03-2025,Trial,0
5,Basic,23-01-2024,06-02-2024,Trial,0
6,Basic,27-05-2025,10-06-2025,Trial,0
7,Basic,06-05-2025,20-05-2025,Trial,0
8,Basic,04-06-2025,18-06-2025,Trial,0
9,Basic,21-09-2025,05-10-2025,Trial,0
10,Basic,15-07-2025,29-07-2025,Churned,0
11,Basic,08-06-2025,22-06-2025,Churned,0
12,Basic,31-05-2025,14-06-2025,Churned,0
13,Basic,23-08-2024,06-09-2024,Trial,0
14,Basic,20-11-2025,04-12-2025,Trial,0
15,Basic,01-10-2025,15-10-2025,Trial,0
16,Basic,28-10-2024,11-11-2024,Trial,0
17,Basic,21-09-2024,05-10-2024,Trial,0
18,Basic,29-05-2024,12-06-2024,Trial,0
19,Basic,12-06-2025,26-06-2025,Trial,0
20,Basic,01-03-2024,15-03-2024,Trial,0
21,Basic,01-11-2024,15-11-2024,Trial,0
22,Basic,06-08-2025,20-08-2025,Churned,0
23,Basic,19-03-2025,02-04-2025,Trial,0
24,Basic,15-10-2024,29-10-2024,Trial,0
25,Basic,08-04-2024,22-04-2024,Trial,0
26,Basic,11-02-2024,25-02-2024,Trial,0
27,Basic,26-04-2024,10-05-2024,Trial,0
28,Basic,15-03-2024,29-03-2024,Churned,0
29,Basic,17-08-2024,31-08-2024,Trial,0
30,Basic,20-04-2024,04-05-2024,Churned,0
31,Pro,10-02-2024,24-02-2024,Active,49
32,Basic,21-03-2025,04-04-2025,Trial,0
33,Basic,28-01-2024,11-02-2024,Churned,0
34,Basic,06-03-2024,20-03-2024,Churned,0
35,Basic,06-07-2024,20-07-2024,Trial,0
36,Basic,11-08-2025,25-08-2025,Trial,0
37,Basic,15-08-2025,29-08-2025,Trial,0
38,Basic,06-09-2024,20-09-2024,Churned,0
39,Basic,02-01-2025,16-01-2025,Trial,0
40,Basic,12-11-2025,26-11-2025,Trial,0
41,Basic,08-09-2025,22-09-2025,Trial,0
