ticket_id,user_id,issue_category,priority,resolution_time_hours,satisfaction_score
1,1,Technical,Medium,83.4,1.5
2,2,Billing,High,6.1,4.1
3,3,Billing,Medium,7,4.3
4,4,Bug,Medium,9.8,5
5,5,Feature Request,Low,19.5,4.8
6,6,Technical,High,1.1,5
7,7,Feature Request,Low,4.1,5
8,8,Technical,Low,16.6,4.5
9,9,Billing,Low,7.6,5
10,10,Billing,Medium,2.9,4.6
11,11,Feature Request,High,11.4,4
12,12,Feature Request,Medium,6.4,4.3
13,13,Feature Request,Low,18.9,4.9
14,14,Bug,Medium,6.1,4.8
15,15,Bug,High,14.1,4.6
16,16,Feature Request,Medium,27.1,4.4
17,17,Billing,Low,1,5
18,18,Bug,High,28,4.4
19,19,Feature Request,High,14.8,4.9
20,20,Billing,Medium,31.8,4.3
21,21,Billing,High,7.5,5
22,22,Bug,High,14.9,3.9
23,23,Feature Request,High,41.2,3.8
24,24,Technical,Low,41.9,3.2
25,25,Technical,High,15.2,4.5
26,26,Feature Request,Medium,9.7,4.9
27,27,Billing,Medium,12.7,4.4
28,28,Technical,Low,2.7,4.4
29,29,Billing,Medium,5.6,5
30,30,Technical,Low,2,4.7
31,31,Bug,High,9.1,5
32,32,Bug,High,3.7,5
33,33,Technical,Medium,1.2,4.3
34,34,Technical,High,2.6,4.2
35,35,Billing,Medium,4.7,4.9
36,36,Bug,Medium,32.3,4.2
37,37,Billing,Low,2.7,5
38,38,Billing,Medium,31.3,3.2
39,39,Feature Request,Low,5.3,5
40,40,Billing,High,35.5,3.7
41,41,Bug,Low,9.2,4.8
42,42,Technical,Medium,22.4,3.4
43,43,Feature Request,Medium,10.3,4.5
44,44,Bug,High,19.8,4.1
45,45,Technical,Low,2.5,5
46,46,Bug,Low,13.6,4.6
47,47,Feature Request,High,2.1,5
48,48,Feature Request,Medium,10.6,5
49,49,Technical,Low,27.7,3.8
50,50,Feature Request,Medium,6.2,4.2
51,51,Feature Request,High,6.6,5
52,52,Technical,Medium,19.2,4.4
53,53,Technical,Low,9.3,5
54,54,Billing,Low,8.8,5
55,55,Feature Request,Medium,12.1,5
56,56,Billing,Low,2.4,5
57,57,Feature Request,High,2.5,5
58,58,Feature Request,Low,10.8,4.6
59,59,Technical,Low,3,5
60,60,Bug,Medium,2.8,4.5
61,61,Bug,Medium,11.1,5
62,62,Billing,Medium,2,5
63,63,Technical,Medium,53.1,3.2
64,64,Technical,High,24.8,4.3
65,65,Billing,High,2.7,5
66,66,Bug,High,14.6,4.4
67,67,Feature Request,Medium,41.9,3
68,68,Feature Request,Medium,5.1,4.4
69,69,Feature Request,High,7.1,4.9
70,70,Technical,Medium,44.1,3.7
71,71,Bug,High,26.2,4.6
72,72,Feature Request,Medium,5.5,5
73,73,Billing,Low,22.1,3.9
74,74,Technical,Medium,3.4,4.5
75,75,Technical,Medium,25.4,4.5
76,76,Feature Request,Medium,1,5
77,77,Technical,High,18.6,4.4
78,78,Technical,Low,1,5
79,79,Feature Request,Low,8.5,4.6
80,80,Bug,Low,12.1,4.9
81,81,Feature Request,Medium,28.8,4.2
82,82,Billing,Medium,1.9,5
83,83,Feature Request,High,38.2,3.7
84,84,Technical,Low,7.2,4.7
85,85,Bug,High,18.1,3.1
86,86,Feature Request,Low,36.2,3.5
87,87,Billing,High,9.7,3.8
88,88,Technical,High,6.1,5
89,89,Bug,Low,24.9,4.1
90,90,Feature Request,Medium,48.5,2.9
91,91,Feature Request,Medium,1.6,4.5
92,92,Billing,High,26.6,4.5
93,93,Feature Request,Medium,26.1,4.7
94,94,Bug,Medium,4.1,4.5
95,95,Billing,High,21.9,4.6
96,96,Bug,High,32.2,4.3
97,97,Bug,High,23.3,4.3
98,98,Feature Request,Medium,10.2,4.7
99,99,Technical,Low,1.8,5
100,100,Feature Request,High,68.8,2.2
101,101,Technical,Medium,17.3,4.3
102,102,Technical,High,7.2,4.3
103,103,Billing,Medium,6.4,4.9
104,104,Billing,Medium,7.8,4
105,105,Feature Request,Medium,11.4,4.7
106,106,Technical,Medium,49.9,3.2
107,107,Feature Request,Low,3.5,4.3
108,108,Billing,High,8.8,4.8
109,109,Billing,Medium,1.7,5
110,110,Billing,Medium,13.4,4.5
111,111,Technical,High,9.5,5
112,112,Bug,High,6.7,5
113,113,Feature Request,Low,7.2,5
114,114,Bug,Medium,1.8,4.1
115,115,Bug,Medium,12.9,4.6
116,116,Bug,Medium,29.9,3.7
117,117,Feature Request,High,8,5
118,118,Feature Request,Low,1.6,5
119,119,Bug,High,4.8,5
120,120,Bug,Low,2.8,5
121,121,Technical,Low,31.6,3.5
122,122,Billing,Low,18.3,4.8
123,123,Technical,Medium,1,4.9
124,124,Feature Request,Low,1.7,5
125,125,Technical,High,26.9,4.1
