user_id,signup_date,country,device_type,acquisition_source
1,17-05-2024,UK,Mobile,LinkedIn Ads
2,02-08-2024,USA,Desktop,Referral
3,22-08-2024,UK,Desktop,Organic
4,08-03-2025,India,Mobile,Referral
5,23-01-2024,USA,Tablet,LinkedIn Ads
6,27-05-2025,Brazil,Desktop,Google Ads
7,06-05-2025,USA,Mobile,Referral
8,04-06-2025,USA,Desktop,Referral
9,21-09-2025,UK,Desktop,Google Ads
10,15-07-2025,USA,Mobile,Organic
11,08-06-2025,Australia,Mobile,Google Ads
12,31-05-2025,USA,Mobile,Referral
13,23-08-2024,India,Mobile,Google Ads
14,20-11-2025,USA,Mobile,Referral
15,01-10-2025,USA,Desktop,Google Ads
16,28-10-2024,Canada,Desktop,Referral
17,21-09-2024,USA,Mobile,Google Ads
18,29-05-2024,USA,Tablet,Referral
19,12-06-2025,Canada,Mobile,LinkedIn Ads
20,01-03-2024,Germany,Desktop,Google Ads
21,01-11-2024,Germany,Desktop,Organic
22,06-08-2025,Canada,Mobile,LinkedIn Ads
23,19-03-2025,UK,Desktop,Referral
24,15-10-2024,USA,Desktop,Organic
25,08-04-2024,Australia,Tablet,Organic
26,11-02-2024,USA,Desktop,Google Ads
27,26-04-2024,USA,Mobile,Referral
28,15-03-2024,USA,Tablet,Google Ads
29,17-08-2024,UK,Tablet,Organic
30,20-04-2024,Germany,Mobile,LinkedIn Ads
31,10-02-2024,USA,Mobile,Referral
32,21-03-2025,Brazil,Desktop,Organic
33,28-01-2024,USA,Tablet,Organic
34,06-03-2024,Brazil,Tablet,Referral
35,06-07-2024,UK,Desktop,Google Ads
36,11-08-2025,India,Tablet,Referral
37,15-08-2025,Brazil,Desktop,Organic
38,06-09-2024,USA,Desktop,LinkedIn Ads
39,02-01-2025,Canada,Mobile,Google Ads
40,12-11-2025,USA,Mobile,Google Ads
41,08-09-2025,USA,Mobile,Google Ads
42,04-07-2025,USA,Mobile,Google Ads
43,08-07-2025,USA,Mobile,LinkedIn Ads
44,23-10-2025,Brazil,Tablet,LinkedIn Ads
45,22-09-2024,Singapore,Desktop,Referral
46,20-11-2024,Canada,Mobile,Referral
47,05-05-2025,Netherlands,Mobile,Organic
48,14-03-2024,Germany,Mobile,Organic
49,19-07-2025,USA,Mobile,Referral
50,12-03-2025,USA,Mobile,LinkedIn Ads
51,17-06-2024,UK,Tablet,LinkedIn Ads
52,22-05-2024,Netherlands,Mobile,LinkedIn Ads
53,29-11-2024,USA,Mobile,Referral
54,11-10-2024,USA,Mobile,LinkedIn Ads
55,12-09-2025,USA,Desktop,Google Ads
56,13-09-2024,Australia,Desktop,Google Ads
57,27-01-2025,USA,Mobile,LinkedIn Ads
58,26-10-2025,USA,Mobile,Organic
59,05-04-2025,USA,Mobile,Organic
60,21-01-2025,USA,Mobile,Organic
61,13-06-2025,USA,Mobile,Organic
62,25-11-2025,USA,Desktop,Referral
63,10-09-2024,India,Mobile,LinkedIn Ads
64,16-03-2024,Australia,Mobile,Organic
65,04-06-2024,Canada,Desktop,Google Ads
66,12-03-2024,USA,Mobile,LinkedIn Ads
67,13-10-2025,India,Mobile,Google Ads
68,19-06-2025,India,Desktop,LinkedIn Ads
69,25-08-2024,USA,Desktop,Referral
70,16-09-2025,India,Mobile,LinkedIn Ads
71,11-09-2024,Germany,Desktop,Google Ads
72,15-04-2025,Canada,Desktop,Google Ads
73,30-07-2024,India,Desktop,LinkedIn Ads
74,03-09-2025,USA,Mobile,LinkedIn Ads
75,08-10-2024,USA,Mobile,LinkedIn Ads
76,25-08-2024,USA,Desktop,Referral
77,06-08-2024,Singapore,Desktop,LinkedIn Ads
78,19-07-2024,USA,Mobile,Google Ads
79,09-07-2025,USA,Desktop,Google Ads
80,03-03-2024,Canada,Desktop,Organic
81,13-05-2024,Germany,Mobile,Google Ads
82,05-09-2024,USA,Mobile,Google Ads
83,05-07-2025,USA,Mobile,Referral
84,15-03-2024,USA,Tablet,Google Ads
85,03-04-2024,Brazil,Mobile,Organic
86,11-11-2025,USA,Desktop,Referral
87,28-01-2025,USA,Desktop,Google Ads
88,11-03-2025,France,Mobile,Google Ads
89,12-05-2024,India,Desktop,LinkedIn Ads
90,17-06-2025,USA,Desktop,Google Ads
91,27-12-2024,USA,Mobile,LinkedIn Ads
92,07-04-2025,Singapore,Desktop,Organic
93,17-05-2024,USA,Desktop,Organic
94,20-10-2025,USA,Desktop,Organic
95,30-07-2025,USA,Desktop,Referral
96,19-04-2024,USA,Desktop,LinkedIn Ads
97,23-01-2024,UK,Tablet,Referral
98,28-08-2024,USA,Mobile,Google Ads
99,28-06-2025,Germany,Mobile,Referral
